,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Founders,Investor,Year
0,TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000.0,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",,,,2018
1,Happy Cow Dairy,"Agriculture, Farming",Seed,584000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,,,,2018
2,MyLoanCare,"Credit, Financial Services, Lending, Marketplace",Series A,949000.0,Gurugram,Leading Online Loans Marketplace in India,,,,2018
3,PayMe India,"Financial Services, FinTech",Angel,2000000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,,,,2018
4,Eunimart,"E-Commerce Platforms, Retail, SaaS",Seed,,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,,,,2018
5,Hasura,"Cloud Infrastructure, PaaS, SaaS",Seed,1600000.0,Bangalore,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",,,,2018
6,Tripshelf,"Internet, Leisure, Marketplace",Seed,233600.0,"Kalkaji, Delhi, India",Tripshelf is an online market place for holiday packages.,,,,2018
7,Hyperdata.IO,Market Research,Angel,730000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,,,,2018
8,Freightwalla,"Information Services, Information Technology",Seed,,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,,,,2018
9,Microchip Payments,Mobile Payments,Seed,,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,,,,2018
10,BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",Seed,,Delhi,Building Transactionary B2B Marketplaces,,,,2018
11,Emojifi,Tech,Seed,,Bangalore,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",,,,2018
12,Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,,"India, Asia",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,,,,2018
13,Freshboxx,Food Delivery,Seed,,"Hubli, Karnataka, India","Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",,,,2018
14,Wide Mobility Mechatronics,AI,Seed,,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,,,,2018
15,Pitstop,"Automotive, Search Engine, Service Industry",Seed,1460000.0,Bangalore,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,,,,2018
16,Mihuru,"Finance, Internet, Travel",Seed,150000.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,,,,2018
17,Fyle,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Seed,1100000.0,Bangalore,Fyle is an intelligent expense management platform for enterprises.,,,,2018
18,AppWharf,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Seed,,Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,,,,2018
19,Antariksh Waste Ventures Pvt ltd,"Internet of Things, Waste Management",Seed,7300.0,Chennai,Waste Management for Smart Cities,,,,2018
20,Cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation",Series A,6000000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,,,,2018
21,PaisaDukan,FinTech,Seed,650000.0,Mumbai,A P2P lending marketplace platform,,,,2018
22,Sleepy Owl Coffee,Food and Beverages,Seed,511000.0,Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",,,,2018
23,BlueJack,Autonomous Vehicles,Seed,934400.0,Delhi,Delhi-based online used vehicles marketplace.,,,,2018
24,PregBuddy,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",Seed,,Bangalore,PregBuddy is a smart connected care platform for expecting mothers.,,,,2018
25,AgNext Technologies,"Agriculture, Analytics, Big Data, Farming",Series A,,"Mohali, Punjab, India",AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,,,,2018
26,Pando,"Logistics, Supply Chain Management",Seed,2000000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,,,,2018
27,Mintifi,"Financial Services, Lending",Seed,2000000.0,Mumbai,Online lending startup based in Mumbai.,,,,2018
28,Carcrew,"Automotive, Marketplace, Online Portals",Seed,2000000.0,Mumbai,India's Online Auto Repair Marketplace,,,,2018
29,NicheAI,AI,Angel,,Hyderabad,Early stage Artificial Intelligence (AI) start up.,,,,2018
30,Chariot Tech,"Internet of Things, Telecommunications",Seed,292000.0,Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,,,,2018
31,Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,1000000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,,,,2018
32,Loanzen,FinTech,Seed,,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,,,,2018
33,Mojro Technologies,"Information Technology, Logistics, Supply Chain Management",Seed,650000.0,Bangalore,Mojro envisions to be the world's largest technology-enabled logistics platform.,,,,2018
34,Elemential,"Blockchain, Developer Tools, Enterprise Software",Seed,1000000.0,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",,,,2018
35,Loadshare,"Industrial Automation, Logistics, Supply Chain Management",Series A,5000000.0,Bangalore,LoadShare is India’s fastest growing logistics company,,,,2018
36,Yumlane,"Food and Beverage, Food Delivery, Snack Food",Series A,4000000.0,Mumbai,Food startup Yumlane operated by QwikPik Technology,,,,2018
37,Kriger Campus,EdTech,Seed,438000.0,Delhi,A Education Start Up.,,,,2018
38,Pipa+Bella,"E-Commerce, Fashion, Jewelry, Retail",Series A,1000000.0,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,,,,2018
39,Kaleidofin,FinTech,Seed,2800000.0,Chennai,A fintech platform.,,,,2018
40,Chakr Innovation,Renewable Energy,Seed,,Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,,,,2018
41,IndigoLearn,"E-Learning, Education",Seed,150000.0,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,,,,2018
42,UClean,"Clean Energy, CleanTech, Laundry and Dry-cleaning",Seed,584000.0,"India, Asia",UClean is a tech enabled laundry service provider.,,,,2018
43,Coutloot,"E-Commerce, Fashion, Mobile",Seed,1000000.0,Mumbai,The Fashion Re-commerce platform.,,,,2018
44,Letstrack,"Apps, Messaging, Navigation, Public Safety",Seed,1700000.0,Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",,,,2018
45,Pooltoo,Transportation,Seed,,Delhi,Pooltoo offers a premium ride sharing platform.,,,,2018
46,Finzy,"Financial Services, Lending",Seed,1300000.0,Bangalore,finzy is the premier peer to peer lending solution in India.,,,,2018
47,Fitternity,"Fitness, Health Care, Wellness",Seed,2000000.0,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,,,,2018
48,Keito,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",Seed,,Pune,Building an Intelligent Digital Assistant.,,,,2018
49,Tolet for Students,Hospitality,Seed,73000.0,"Jodhpur, Rajasthan, India","Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",,,,2018
50,Chai Kings,"Food and Beverage, Tea",Seed,292000.0,Chennai,Chai Kings is a tea retail chain,,,,2018
51,Dainik Jagran,"Media and Entertainment, News, Outdoors",Seed,584000.0,"Kanpur, Uttar Pradesh, India",Dainik Jagran is a media and communications group.,,,,2018
52,Playtoome,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Seed,292000.0,Bangalore,Playtoome is a live entertainment destination,,,,2018
53,ONGO Framework,"B2B, Information Services, Information Technology",Angel,1000000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,,,,2018
54,Notesgen,"EdTech, Education, Enterprise Software, Peer to Peer",Seed,182500.0,Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,,,,2018
55,Arogya MedTech,"Health Care, Medical",Seed,219000.0,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,,,,2018
56,Propshop24,E-Commerce,Seed,500000.0,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",,,,2018
57,myUpchar,"Health Care, Hospital, Wellness",Series A,5000000.0,Delhi,To bring health issues to people in their language.,,,,2018
58,MissMalini Entertainment,Undisclosed,Seed,1518400.0,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",,,,2018
59,Rooter,Sports,Seed,657000.0,"India, Asia",Rooter is a mobile-based platform,,,,2018
60,ZestMoney,"Big Data, Consumer Lending, FinTech",Series A,13400000.0,Bangalore,Zest is India's first completely automated consumer digital lending platform.,,,,2018
61,alphaics Corporation,"Cloud Computing, Computer, Semiconductor",Seed,,Bangalore,Advancing AI compute,,,,2018
62,MyDentistChoice,"Health Care, Medical, Pharmaceutical",Seed,500000.0,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,,,,2018
63,Sattviko,"Food Processing, Retail",Angel,,Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,,,,2018
64,Sensibull,Trading Platform,Seed,365000.0,Bangalore,Investment Management Platform,,,,2018
65,Bombay Shaving Company,"Consumer Goods, Lifestyle, Men's",Series A,,Delhi,Bombay Shaving Company is a Men's grooming startup,,,,2018
66,MedCords,Wellness,Seed,385440.0,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,,,,2018
67,University Living,EdTech,Seed,,Delhi,University Living is an online global student housing marketplace.,,,,2018
68,&ME,"Food and Beverage, Food Processing, Nutrition",Seed,,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,,,,2018
69,Enakshi,Fashion,Seed,116800.0,Ahmedabad,Enakshi is an online apparel brand for women.,,,,2018
70,Ultraviolette Automotive,"Automotive, Electric Vehicle, Energy Storage",Series A,876.0,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,,,,2018
71,Inthree Access,"Consulting, Retail, Social",Series A,4000000.0,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,,,,2018
72,BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,9000000.0,Bangalore,BUGWORKS is a drug discovery company.,,,,2018
73,Guardian.in,HealthTech,Seed,,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,,,,2018
74,PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",Seed,100000.0,Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",,,,2018
75,Wimoxez,Tech,Seed,20000.0,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",,,,2018
76,India Accelerator,"Communities, Coworking, Incubators",Angel,,Gurugram,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,,,,2018
77,HappyEMI,"Consumer, Financial Services, FinTech",Seed,1000000.0,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,,,,2018
78,Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed,,"Azadpur, Delhi, India",Premium Personal Assistance service,,,,2018
79,Hansel.io,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,4000000.0,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",,,,2018
80,Propelld,"Education, Financial Services, FinTech",Seed,250000.0,Bangalore,Propelld is a student education financing platform.,,,,2018
81,PivotRoots,"Advertising, Consulting, Digital Marketing",Series A,,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,,,,2018
82,ZiffyHomes,"Marketplace, Real Estate, Rental Property",Seed,120000.0,Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,,,,2018
83,Carmesi,HealthTech,Seed,496400.0,Gurugram,Carmesi is a brand of high-end menstrual-hygiene products in India.,,,,2018
84,OckyPocky,"E-Learning, Internet, Video Games",Angel,,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,,,,2018
85,Racetrack,"Artificial Intelligence, Cloud Computing, Video",Seed,4993200.0,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",,,,2018
86,WHR,"Health Care, Information Technology",Seed,143145.0,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",,,,2018
87,Asteria Aerospace,Aerospace,Seed,,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.,,,,2018
88,FabAlley,"E-Commerce, Fashion, Lifestyle",Series B,8760000.0,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",,,,2018
89,Tranzmeo,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Pre-Seed,,"Cochin, Kerala, India",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,,,,2018
90,SBI Life,Insurance,Private Equity,742000000.0,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,,,,2018
91,Studds Accessories,E-Commerce,Private Equity,14600000.0,"Faridabad, Haryana, India",Studds Accessories is a scooter accessories service provider in India,,,,2018
92,Design Cafe,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",Series B,29200000.0,Bangalore,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",,,,2018
93,NoPaperForms Solutions Pvt. Ltd.,"EdTech, Education, Information Services, SaaS",Series B,3980000.0,Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",,,,2018
94,Rays Power Infra,"Energy, Solar",Venture - Series Unknown,29200000.0,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,,,,2018
95,AuthMetrik,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",Grant,10000.0,Gurugram,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",,,,2018
96,Khidki,"Artificial Intelligence, Social",Seed,,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions,,,,2018
97,LetsTransport,"Logistics, Transportation, Travel",Series B,14600000.0,Bangalore,Lets transport is a logistics solution provider.,,,,2018
98,Next Digital Solutions,"Digital Marketing, SEM, SEO, Web Development",Angel,1460.0,"Kota, Rajasthan, India",Next Digital Solutions is website design & Digital Marketing development company.,,,,2018
99,Portea Medical,"Health Care, Hospital, Medical",Debt Financing,3650000.0,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,,,,2018
100,Aavas Financiers,"Finance, Financial Services",Post-IPO Debt,29200000.0,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",,,,2018
101,Swiggy,"Food Delivery, Food Processing, Internet",Series H,1000000000.0,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,,,,2018
102,Milkbasket,"E-Commerce, Food and Beverage, Internet",Series A,7000000.0,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",,,,2018
103,Nutrisattva (Proliva),"Fitness, Food and Beverage, Health Care, Nutrition",Angel,,"Anand, Gujarat, India",Nutrisattva is a protein innovation compan,,,,2018
104,Toppr,"EdTech, Education, Knowledge Management",Series C,35000000.0,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,,,,2018
105,Jagaran Microfin,Undisclosed,Debt Financing,8030000.0,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,,,,2018
106,Vivriti Capital,FinTech,Venture - Series Unknown,28500000.0,Chennai,Vivriti Capital is an online platform for institutional debt in India.,,,,2018
107,Be U Salons,"Apps, Beauty, Consumer, Retail",Seed,438000.0,Delhi,Be U is India's first subscription based Salon Chain.,,,,2018
108,Impact Guru,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",Series A,2000000.0,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",,,,2018
109,MobiKwik,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",Series E,3504000.0,Gurugram,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,,,,2018
110,Stones2Milestones,"E-Learning, Education, Higher Education",Seed,,Gurugram,Stones2milestones is a Gurgaon Based Learning Company.,,,,2018
111,Generico,"Health Care, Medical, Pharmaceutical",Series A,,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,,,,2018
112,Adiuvo Diagnostics,Health Diagnostics,Seed,,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,,,,2018
113,DataTrained,"EdTech, Education",Seed,1752000.0,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science",,,,2018
114,OneAssist,"Financial Services, SaaS, Security",Debt Financing,2400000.0,Mumbai,OneAssist is a protection & assistance services platform.,,,,2018
115,Satin Creditcare Network Limited (SCNL),"Banking, Finance, Financial Services, Non Profit",Post-IPO Debt,30000000.0,Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,,,,2018
116,APAC Financial Services,"Finance, Financial Services",Private Equity,36500000.0,Mumbai,APAC Financial Services is a financial services platform.,,,,2018
117,Moglix,"B2B, E-Commerce, Mobile",Series C,23000000.0,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",,,,2018
118,SEDEMAC Mechatronics,"Automotive, Electric Vehicle, Renewable Energy",Venture - Series Unknown,,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,,,,2018
119,MadGuy Labs,E-Learning,Venture - Series Unknown,150000.0,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,,,,2018
120,Dee Dee Labs,"Embedded Systems, Health Care, Medical, Product Research",Seed,,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,,,,2018
121,FLEECA,Undisclosed,Seed,,Jaipur,FLEECA is a Tyre Care Provider company.,,,,2018
122,Shop101,"Apps, E-Commerce, Internet",Series B,11000000.0,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,,,,2018
123,FeedMyPockets,"Advertising, Human Resources, Marketing",Seed,642400.0,Bangalore,On Demand Staffing Platform,,,,2018
124,Housejoy,"Beauty, Fitness, Home Services, Internet",Series B,3240000.0,Bangalore,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,,,,2018
125,Ambee,"Health Care, Medical Device, Public Safety",Angel,,Bangalore,Ambee is an Environment analytics startup.,,,,2018
126,FoodBuddy,"Food Delivery, Online Portals, Restaurants",Seed,876000.0,"Belgaum, Karnataka, India","FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",,,,2018
127,Ninjacart,"AgTech, B2B, Supply Chain Management",Series B,36500000.0,Bangalore,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,,,,2018
128,Olly Smart Credit Card,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Seed,,Delhi,Olly is a digital credit card for India's working masses and young people.,,,,2018
129,Zestl,Tech,Seed,,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",,,,2018
130,BYJU’S,"EdTech, Education, Higher Education, Secondary Education",Private Equity,540000000.0,Bangalore,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,,,,2018
131,Wakefit,"Manufacturing, Retail",Venture - Series Unknown,9490000.0,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,,,,2018
132,Hero Electric,Manufacturing,Venture - Series Unknown,23360000.0,Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",,,,2018
133,Pentation Analytics,"Information Services, Information Technology, InsurTech",Seed,,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,,,,2018
134,PerkFinance,"Consumer Lending, FinTech",Seed,900000.0,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,,,,2018
135,Roposo,"Internet, Social Network, TV",Series C,10000000.0,Gurugram,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,,,,2018
136,Plum Goodness,"Beauty, Health Care",Series A,,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,,,,2018
137,Drstore,Hospital,Seed,,Mumbai,Drstore is a exclusive e- commerce platform.,,,,2018
138,Wow Venue,Events,Venture - Series Unknown,1500000.0,Mumbai,Wow Venue is an online platform.,,,,2018
139,Chizel,"3D Printing, Manufacturing, Product Design",Seed,,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,,,,2018
140,OTO Capital,Automotive,Seed,730000.0,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,,,,2018
141,Boodmo,"Automotive, Retail",Seed,1022000.0,Gurugram,boodmo.com - large online marketplace for auto parts in India.,,,,2018
142,Khabri,"Apps, Audio",Seed,,Haryana,Khabri is a digital audio platform for content in vernacular.,,,,2018
143,MyNewCar.in,"Automotive, E-Commerce",Venture - Series Unknown,1000000.0,Gurugram,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,,,,2018
144,HalaPlay Technologies,"Digital Entertainment, Fantasy Sports, Sports",Series A,5000000.0,Bangalore,A daily fantasy sports platform.,,,,2018
145,PlanetSpark,"E-Learning, EdTech, Education",Seed,233600.0,Gurugram,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,,,,2018
146,WheelsEMI,Undisclosed,Series B,14000000.0,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",,,,2018
147,Forum for Innovation Incubation Research and Entrepreneurship,"Funding Platform, Incubators, Non Profit",Grant,1496500.0,"Margão, Goa, India","FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",,,,2018
148,OYO,"Hospitality, Hotel, Leisure, Travel",Series E,100000000.0,Gurugram,OYO is an Indian hospitality startup that operates a network of budget hotels.,,,,2018
149,Quikr,"Classifieds, Internet, Marketplace, Rental Property",Debt Financing,8030000.0,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",,,,2018
150,Tabono,Sports,Seed,,Gurugram,Tabono is a one stop environment for all your fitness solution.,,,,2018
151,LearnApp,"Banking, E-Learning, Trading Platform",Seed,292000.0,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",,,,2018
152,Shopkirana,"E-Commerce, Mobile, Retail",Venture - Series Unknown,2000000.0,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,,,,2018
153,Fric Bergen,Undisclosed,Venture - Series Unknown,,"Alwar, Rajasthan, India",Fric Bergen is a leader in the specialty food industry.,,,,2018
154,Articbot,"Artificial Intelligence, Information Technology",Grant,17520.0,"Kannur, Kerala, India",Articbot is a conversational AI platform for automated customer support and lead generation,,,,2018
155,BuildSupply,"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",Series A,3650000.0,Gurugram,India’s most advanced ERP system for the real estate,,,,2018
156,Fusion Microfinance,"Banking, Finance, Financial Services",Series E,75920000.0,Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,,,,2018
157,Any time Doctor,Tech,Angel,,Chennai,Anytime Doctor is a Software company.,,,,2018
158,Go Payments,"Information Services, Information Technology",Corporate Round,,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,,,,2018
159,Guiddoo World,"Audio, Mobile, Tourism, Travel",Seed,800000.0,Mumbai,We build In-Destination Experiences!,,,,2018
160,ION Energy,"Energy, Energy Storage, Infrastructure",Venture - Series Unknown,1041000.0,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,,,,2018
161,UnoTag,AI,Pre-Seed,100000.0,Bangalore,SaaS to verify counterfeit,,,,2018
162,CivilCops,"Government, Information Technology, Software",Pre-Seed,100000.0,Gurugram,Gov-Tech,,,,2018
163,Rockmetric,InfoTech & Services,Grant,,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",,,,2018
164,Classworks India,"Education, Information Technology, Internet, Mobile, Software",Venture - Series Unknown,1460.0,Chennai,"Saas, Web App, Mobile App, School Education",,,,2018
165,Snapmint,"Consumer Lending, Financial Services, Lending, Personal Finance",Seed,,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",,,,2018
166,artbandhu,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Pre-Seed,15000.0,Bangalore,Ai platform for Art and Creative Community,,,,2018
167,Survaider,"Business Intelligence, Customer Service, Market Research, SaaS",Seed,500000.0,Bangalore,Stethoscope for customer feedback !,,,,2018
168,Credy,"Credit, Financial Services, FinTech, Lending",Seed,1400000.0,Bangalore,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,,,,2018
169,iChamp,E-Learning,Seed,5000000.0,Gurugram,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,,,,2018
170,Qandle,Tech,Seed,1200000.0,Gurugram,A cloud-based HR management and employee engagement platform.,,,,2018
171,Avishkaar Box,"Children, Education, Parenting",Seed,730000.0,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",,,,2018
172,Gegadyne Energy,"Automotive, Battery, Energy, Energy Storage",Angel,,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,,,,2018
173,HyperXchange,"E-Commerce, Mobile, Sharing Economy",Series A,1000000.0,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,,,,2018
174,Deftouch,Undisclosed,Seed,,Bangalore,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,,,,2018
175,Doodhwala,"Food Delivery, Organic, Organic Food",Seed,2200000.0,Bangalore,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,,,,2018
176,DronaHQ,Mobile,Angel,500000.0,Mumbai,DronaHQ is an enterprise mobile engagement platform.,,,,2018
177,FastFox,Rental,Series A,1460000.0,Gurugram,FastFox: Market Network for Home Rentals (India),,,,2018
178,BuyForexOnline,Travel,Venture - Series Unknown,2000000.0,Bangalore,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,,,,2018
179,Colive.in,Consumer,Seed,1800000.0,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,,,,2018
180,Agricxlab Private Limited,"B2B, Farming, Marketplace",Seed,500000.0,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,,,,2018
181,Corefactors,Undisclosed,Seed,,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company.",,,,2018
182,Fincash.com,Wealth Management,Seed,150000.0,Mumbai,A startup in the personal finance space in India .,,,,2018
183,Pandorum Technologies,Biotechnology,Series A,3600000.0,Bangalore,Bengaluru based biotech startup.,,,,2018
184,Shirsa Labs,"Education, Gaming, Training",Seed,500000.0,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,,,,2018
185,PetSutra,Veterinary,Seed,138700.0,Gurugram,Gurugram-based Online petcare platform.,,,,2018
